complaint_id,date_filed,district,block_or_ward,department,complaint_text,priority,status,resolution_days,citizen_channel
OD-CMP-2024001,2024-05-20,Cuttack,Netaji Nagar,Women & Child Development,"Anganwadi centre at Netaji Nagar, Cuttack closed for over 21 days without notice.",High,Open,,Toll-Free Helpline
OD-CMP-2024002,2024-10-29,Rourkela,Rail Colony,Women & Child Development,"Anganwadi centre at Rail Colony, Rourkela closed for over 3 days without notice.",Medium,Open,,CPGRAMS Portal
OD-CMP-2024003,2024-10-14,Koraput,Market Square,Health & Family Welfare,"Delay in ambulance response time (>45 mins) reported in Market Square area, Koraput.",High,Resolved,35,In-person at Block Office
OD-CMP-2024004,2024-01-04,Kalahandi,Market Square,Health & Family Welfare,"Delay in ambulance response time (>45 mins) reported in Market Square area, Kalahandi.",Medium,Open,,In-person at Block Office
OD-CMP-2024005,2024-06-21,Mayurbhanj,Ward 12,School & Mass Education,"Mid-day meal quality complaint received from parents at Ward 12 Upper Primary School, Mayurbhanj.",High,In Progress,,Mo Sarkar App
OD-CMP-2024006,2024-01-23,Bhadrak,Old Town,School & Mass Education,"Mid-day meal quality complaint received from parents at Old Town Upper Primary School, Bhadrak.",Medium,Resolved,25,Toll-Free Helpline
OD-CMP-2024007,2024-07-04,Mayurbhanj,Panchayat Office,Rural Development,"Pothole-ridden village approach road near Panchayat Office, Mayurbhanj, causing accidents.",Medium,Resolved,3,CPGRAMS Portal
OD-CMP-2024008,2024-02-21,Cuttack,Bus Stand area,School & Mass Education,"Non-functional toilets for girl students at Govt. School, Bus Stand area, Cuttack.",High,In Progress,,Mo Sarkar App
OD-CMP-2024009,2024-12-09,Balasore,Gandhi Chowk,Health & Family Welfare,"Shortage of essential medicines reported at the Gandhi Chowk Primary Health Centre, Balasore.",High,Escalated,,Toll-Free Helpline
OD-CMP-2024010,2024-05-05,Sundargarh,Ward 12,Water Resources,"Embankment breach risk reported near Ward 12 river bank, Sundargarh, ahead of monsoon.",High,In Progress,,CPGRAMS Portal
OD-CMP-2024011,2024-01-17,Balasore,Netaji Nagar,Women & Child Development,"Anganwadi centre at Netaji Nagar, Balasore closed for over 5 days without notice.",Low,In Progress,,Toll-Free Helpline
OD-CMP-2024012,2024-04-18,Bhadrak,Block HQ,Health & Family Welfare,"Delay in ambulance response time (>45 mins) reported in Block HQ area, Bhadrak.",Medium,In Progress,,In-person at Block Office
OD-CMP-2024013,2024-10-14,Mayurbhanj,Ward 12,Health & Family Welfare,"Shortage of essential medicines reported at the Ward 12 Primary Health Centre, Mayurbhanj.",Medium,Resolved,28,In-person at Block Office
OD-CMP-2024014,2024-09-09,Ganjam,Ward 12,School & Mass Education,"Mid-day meal quality complaint received from parents at Ward 12 Upper Primary School, Ganjam.",Critical,Open,,Toll-Free Helpline
OD-CMP-2024015,2024-12-14,Sundargarh,Ward 12,Health & Family Welfare,"Shortage of essential medicines reported at the Ward 12 Primary Health Centre, Sundargarh.",Medium,Open,,In-person at Block Office
OD-CMP-2024016,2024-10-10,Kalahandi,Rail Colony,Water Resources,"Embankment breach risk reported near Rail Colony river bank, Kalahandi, ahead of monsoon.",Low,Open,,Toll-Free Helpline
OD-CMP-2024017,2024-11-24,Koraput,Old Town,Women & Child Development,"Anganwadi centre at Old Town, Koraput closed for over 30 days without notice.",High,In Progress,,CPGRAMS Portal
OD-CMP-2024018,2024-05-14,Khordha,Block HQ,Housing & Urban Development,"Streetlights non-functional on the main road near Block HQ, Khordha, for 21 days.",Low,Resolved,33,Toll-Free Helpline
OD-CMP-2024019,2024-11-07,Mayurbhanj,Panchayat Office,Women & Child Development,"Anganwadi centre at Panchayat Office, Mayurbhanj closed for over 14 days without notice.",High,In Progress,,CPGRAMS Portal
OD-CMP-2024020,2024-06-14,Koraput,Netaji Nagar,Rural Development,"Pothole-ridden village approach road near Netaji Nagar, Koraput, causing accidents.",Medium,Open,,Mo Sarkar App
OD-CMP-2024021,2024-10-17,Ganjam,Netaji Nagar,School & Mass Education,"Non-functional toilets for girl students at Govt. School, Netaji Nagar, Ganjam.",Low,Open,,In-person at Block Office
OD-CMP-2024022,2024-12-03,Koraput,Ward 12,Public Health Engineering,"No piped water supply for 5 consecutive days in Ward 12 ward, Koraput.",Medium,Resolved,17,In-person at Block Office
OD-CMP-2024023,2024-04-12,Koraput,Block HQ,Health & Family Welfare,"Delay in ambulance response time (>45 mins) reported in Block HQ area, Koraput.",Medium,In Progress,,Mo Sarkar App
OD-CMP-2024024,2024-05-06,Koraput,Kanika Colony,Housing & Urban Development,"Streetlights non-functional on the main road near Kanika Colony, Koraput, for 3 days.",High,In Progress,,CPGRAMS Portal
OD-CMP-2024025,2024-12-28,Ganjam,Netaji Nagar,Water Resources,"Embankment breach risk reported near Netaji Nagar river bank, Ganjam, ahead of monsoon.",Medium,In Progress,,Toll-Free Helpline
OD-CMP-2024026,2024-05-22,Cuttack,Rail Colony,School & Mass Education,"Mid-day meal quality complaint received from parents at Rail Colony Upper Primary School, Cuttack.",Medium,In Progress,,CPGRAMS Portal
OD-CMP-2024027,2024-05-04,Bhadrak,Market Square,Panchayati Raj,"MGNREGA wage payment delay of over 10 days reported by workers in Market Square GP, Bhadrak.",Medium,Resolved,13,Toll-Free Helpline
OD-CMP-2024028,2024-08-04,Sundargarh,Sahid Nagar,Public Health Engineering,"No piped water supply for 7 consecutive days in Sahid Nagar ward, Sundargarh.",Medium,Resolved,4,Toll-Free Helpline
OD-CMP-2024029,2024-02-25,Jajpur,Block HQ,Public Health Engineering,"Water leakage reported near Block HQ in Jajpur, causing waterlogging and mosquito breeding.",High,Open,,In-person at Block Office
OD-CMP-2024030,2024-08-24,Jajpur,Ward 12,Health & Family Welfare,"Shortage of essential medicines reported at the Ward 12 Primary Health Centre, Jajpur.",High,Escalated,,In-person at Block Office
OD-CMP-2024031,2024-10-03,Cuttack,Netaji Nagar,Rural Development,"Pothole-ridden village approach road near Netaji Nagar, Cuttack, causing accidents.",Low,Escalated,,CPGRAMS Portal
OD-CMP-2024032,2024-04-19,Jajpur,Kanika Colony,Health & Family Welfare,"Shortage of essential medicines reported at the Kanika Colony Primary Health Centre, Jajpur.",Low,Escalated,,CPGRAMS Portal
OD-CMP-2024033,2024-08-20,Khordha,Sahid Nagar,Housing & Urban Development,"Irregular garbage collection for over 7 days in Sahid Nagar locality, Khordha.",High,Resolved,36,In-person at Block Office
